SEARCHES,BST,AVL
1, 1, 1
11, 3, 1
21, 4, 3
31, 4, 3
41, 5, 4
51, 5, 4
61, 5, 4
71, 6, 4
81, 5, 2
91, 7, 2
101, 6, 3
111, 7, 3
121, 6, 3
131, 7, 4
141, 7, 5
151, 7, 4
161, 8, 6
171, 8, 5
181, 8, 4
191, 7, 3
201, 8, 4
211, 8, 5
221, 8, 3
231, 8, 5
241, 9, 5
251, 8, 6
261, 7, 4
271, 9, 4
281, 9, 5
291, 9, 6
301, 8, 5
311, 8, 5
321, 9, 6
331, 8, 5
341, 9, 5
351, 8, 7
361, 9, 6
371, 9, 6
381, 8, 6
391, 11, 4
401, 9, 4
411, 9, 4
421, 10, 5
431, 10, 5
441, 11, 6
451, 11, 5
461, 10, 6
471, 9, 3
481, 10, 3
491, 10, 4
501, 9, 4
511, 9, 6
521, 8, 7
531, 9, 6
541, 10, 6
551, 9, 6
561, 9, 6
571, 10, 5
581, 9, 5
591, 10, 4
601, 13, 6
611, 9, 6
621, 10, 5
631, 11, 5
641, 10, 7
651, 10, 6
661, 10, 10
671, 11, 6
681, 10, 5
691, 10, 6
701, 10, 6
711, 10, 6
721, 11, 6
731, 11, 6
741, 9, 6
751, 10, 7
761, 10, 6
771, 10, 6
781, 10, 7
791, 11, 5
801, 10, 6
811, 10, 5
821, 11, 6
831, 11, 6
841, 10, 7
851, 11, 6
861, 10, 6
871, 10, 5
881, 11, 7
891, 11, 6
901, 11, 7
911, 11, 5
921, 10, 6
931, 11, 6
941, 10, 7
951, 11, 6
961, 10, 6
971, 10, 5
981, 11, 5
991, 11, 4
